idx,label
1,to take liquid into your mouth and then down your throat into your stomach
2,to put food in your mouth bite it and swallow it
3,to clean polish or make teeth smooth with a brush
4,to clean polish or make hair smooth with a brush
5,to allow something to fall by accident from your hand
6,to take hold of something and lift it up
7,to send something from your hand through the air by moving your hand or arm quickly
8,to move from a standing position to a sitting position
9,to get up onto your feet
10,to hit your open hands together several times to show that you approve of or have enjoyed something
11,to look at and understand the meaning of written or printed words or symbols
12,to make letters or numbers on a surface especially using a pen or a pencil
13,to destroy a document by tearing it into pieces
14,to have a jacket on your body as a piece of clothing
15,to remove a jacket especially a piece of clothing from your body
16,to have shoes on your feet as a piece of clothing
17,to remove shoes especially a piece of clothing from your feet
18,to have glasses on your head as a piece of decoration
19,to remove glasses especially a piece of clothing from your head
20,to have a hat on your head as a piece of decoration
21,to remove hat especially a piece of clothing from your head
22,to make somebody more cheerful
23,to move your arm and hand from side to side
24,to hit something with your foot
25,to stretch your hand towards your pocket in order to touch it
26,to move by jumping on one foot
27,to move quickly off the ground or away from a surface by pushing yourself with your legs and feet
28,to speak/listen to somebody on the phone
29,to watch the phone for pleasure
30,to use a keyboard to write something
31,to put your finger aiming at something to show its importance
32,to take a photo of yourself typically with a phone
33,to look at the watch on your wrist
34,to move your hand backwards and forwards over a surface while pressing it
35,move your head up and down to show agreement understanding
36,to make your head move with short quick movements from side to side
37,to rub your face against a surface in order to remove dirt or liquid from it
38,to touch the side of your head with the fingers of your right hand to show respect
39,to put two hands positioned close together commonly used to represent praying or begging.
40,to make two arms cross each other in front of your chest to represent no or stop
41,to have air come suddenly and noisily out through your nose and mouth in a way that you cannot control for example because you have a cold
42,a weak unsteady way of walking as if you are about to fall
43,to suddenly stop standing and lie on the ground
44,put your hand over the head to soothe a sudden pain from the head
45,put your hand over the chest to soothe a sudden pain from the chest
46,put your hand over the back to soothe a sudden pain from the back
47,put your hand over the neck to soothe a sudden pain from the neck
48,to bring food from the stomach back out through the mouth because you are sick
49,to hold something in your hand and wave to create a current of cool air
50,to hit somebody hard with your fist
51,to hit somebody with your foot
52,to use your hands arms or body in order to make somebody move forward or away from you
53,to touch somebody's back gently several times with your hand flat especially to show kind feelings
54,to put your finger aiming at somebody to accuse him of doing something
55,to put your arms around somebody and hold them tightly especially to show that you like or love them
56,to hand something to somebody so that they can look at it use it or keep it for a time
57,to stretch your hand towards somebody's pocket in order to touch it
58,to shake somebody’s hand with your own used especially to say hello or goodbye or when you have made an agreement
59,two person move close to each other by putting one foot in front of the other on the ground
60,two person move away from each other by putting one foot in front of the other on the ground
